"","MUNICIPIO","iteracion","ranking"
"1","Acatlan","Km,0",22
"2","Acatlan","Km,2",21
"3","Acatlan","Km,4",20
"4","Acatlan","Km,6",19
"5","Acatlan","Km,8",19
"6","Acatlan","km,10",19
"7","Acatlan","km,12",18
"8","Acatlan","km,14",18
"9","Acatlan","km,16",18
"10","Acatlan","km,18",18
"11","Acatlan","km,20",17
"12","Acatlan","km,22",17
"13","Acatlan","km,24",17
"14","Acatlan","km,26",17
"15","Acaxochitlan","Km,0",24
"16","Acaxochitlan","Km,2",27
"17","Acaxochitlan","Km,4",26
"18","Acaxochitlan","Km,6",25
"19","Acaxochitlan","Km,8",24
"20","Acaxochitlan","km,10",22
"21","Acaxochitlan","km,12",22
"22","Acaxochitlan","km,14",22
"23","Acaxochitlan","km,16",22
"24","Acaxochitlan","km,18",22
"25","Acaxochitlan","km,20",22
"26","Acaxochitlan","km,22",22
"27","Acaxochitlan","km,24",22
"28","Acaxochitlan","km,26",22
"29","Actopan","Km,0",11
"30","Actopan","Km,2",17
"31","Actopan","Km,4",22
"32","Actopan","Km,6",21
"33","Actopan","Km,8",21
"34","Actopan","km,10",20
"35","Actopan","km,12",20
"36","Actopan","km,14",20
"37","Actopan","km,16",20
"38","Actopan","km,18",20
"39","Actopan","km,20",20
"40","Actopan","km,22",21
"41","Actopan","km,24",21
"42","Actopan","km,26",21
"43","ABI","Km,0",71
"44","ABI","Km,2",46
"45","ABI","Km,4",50
"46","ABI","Km,6",49
"47","ABI","Km,8",49
"48","ABI","km,10",49
"49","ABI","km,12",50
"50","ABI","km,14",50
"51","ABI","km,16",50
"52","ABI","km,18",50
"53","ABI","km,20",50
"54","ABI","km,22",50
"55","ABI","km,24",50
"56","ABI","km,26",50
"57","Ajacuba","Km,0",30
"58","Ajacuba","Km,2",47
"59","Ajacuba","Km,4",44
"60","Ajacuba","Km,6",44
"61","Ajacuba","Km,8",43
"62","Ajacuba","km,10",43
"63","Ajacuba","km,12",43
"64","Ajacuba","km,14",43
"65","Ajacuba","km,16",43
"66","Ajacuba","km,18",43
"67","Ajacuba","km,20",43
"68","Ajacuba","km,22",43
"69","Ajacuba","km,24",43
"70","Ajacuba","km,26",43
"71","Alfajayucan","Km,0",31
"72","Alfajayucan","Km,2",16
"73","Alfajayucan","Km,4",18
"74","Alfajayucan","Km,6",20
"75","Alfajayucan","Km,8",20
"76","Alfajayucan","km,10",21
"77","Alfajayucan","km,12",21
"78","Alfajayucan","km,14",21
"79","Alfajayucan","km,16",21
"80","Alfajayucan","km,18",21
"81","Alfajayucan","km,20",21
"82","Alfajayucan","km,22",20
"83","Alfajayucan","km,24",20
"84","Alfajayucan","km,26",20
"85","Almoloya","Km,0",32
"86","Almoloya","Km,2",36
"87","Almoloya","Km,4",38
"88","Almoloya","Km,6",39
"89","Almoloya","Km,8",39
"90","Almoloya","km,10",40
"91","Almoloya","km,12",40
"92","Almoloya","km,14",40
"93","Almoloya","km,16",40
"94","Almoloya","km,18",40
"95","Almoloya","km,20",40
"96","Almoloya","km,22",40
"97","Almoloya","km,24",40
"98","Almoloya","km,26",40
"99","Apan","Km,0",16
"100","Apan","Km,2",15
"101","Apan","Km,4",15
"102","Apan","Km,6",16
"103","Apan","Km,8",17
"104","Apan","km,10",16
"105","Apan","km,12",16
"106","Apan","km,14",16
"107","Apan","km,16",16
"108","Apan","km,18",16
"109","Apan","km,20",16
"110","Apan","km,22",16
"111","Apan","km,24",16
"112","Apan","km,26",16
"113","El Arenal","Km,0",66
